2020-04-27 02:04:02 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:479 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:480 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:729 INFO  LoginPage :45 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (c37cb932c54b00738fde7ba55c06fed4)] -> id: btnLogin]
2020-04-27 02:04:111 INFO  LoginPage :50 - Getting welcome admin text Proxy element for: DefaultElementLocator 'By.id: welcome'
2020-04-27 02:04:524 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:592 INFO  LoginPage :32 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (8202baf30292d7c27c1172831c01eb6a)] -> id: txtUsername]
2020-04-27 02:04:748 INFO  LoginPage :39 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (8202baf30292d7c27c1172831c01eb6a)] -> id: txtPassword]
2020-04-27 02:04:578 INFO  LoginPage :45 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 02:04:931 INFO  LoginPage :50 - Getting welcome admin text [[ChromeDriver: chrome on WINDOWS (8202baf30292d7c27c1172831c01eb6a)] -> id: welcome]
2020-04-27 02:04:934 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:410 INFO  LoginPage :32 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (a809ca076edf116217ca230dcf5f8499)] -> id: txtUsername]
2020-04-27 02:04:561 INFO  LoginPage :39 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (a809ca076edf116217ca230dcf5f8499)] -> id: txtPassword]
2020-04-27 02:04:393 INFO  LoginPage :45 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 02:04:483 INFO  LoginPage :50 - Getting welcome admin text [[ChromeDriver: chrome on WINDOWS (a809ca076edf116217ca230dcf5f8499)] -> id: welcome]
2020-04-27 02:04:304 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:285 INFO  LoginPage :32 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (4600b145115347f11619fbbf76fe3dff)] -> id: txtUsername]
2020-04-27 02:04:623 INFO  LoginPage :39 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (4600b145115347f11619fbbf76fe3dff)] -> id: txtPassword]
